category,store_name,original_price,discount_percent,price,comment_count,rating,name,sold,category_group
Đầm,ShopNimiu,260000.0,54.0,119599.0,23.0,4.8,Đầm dáng ngắn mini 2 tầng nàng thơ chất tơ nến mềm mát tay phồng đính nơ check in dễ thương,69.0,Tiêu dùng giá thấp
Áo nữ,YES FASHION,39300.0,49.0,20043.0,23.0,4.1,"CÓ 2 MÀU - Bộ Quần Áo thun Nam Nữ Họa Tiết BÒ SỮA độc đẹp, vải thun lạnh siêu mát, thiết kế thời trang",151.0,Tiêu dùng giá thấp
Áo liền quần & áo liền quần,STUDIENT SHOP,168000.0,50.0,84000.0,1.0,5.0,SÉT ÁO IN HÌNH NHIỀU GẤU KÈM QUẦN KẺ SÉT QUẦN ÁO NỮ HÌNH IN SẮC NÉT BỀN ĐẸP,7.0,Tiêu dùng giá thấp
Quần áo trẻ em,SUKAKIDS,15000.0,40.0,9000.0,3.0,5.0,"Combo 10 Quần đùi kate cho bé trai,bé gái,quần mặc nhà ,quần mặc ngủ 6kg-29kg.QL10.SUKAKIDS",15.0,Tiêu dùng giá thấp
Set bộ đi chơi,Shop Thời Trang Pé Heo,145000.0,25.0,108750.0,30.0,5.0,"(PH234) Set Đồ Bộ Áo Croptop Tay Ngắn Phối Quần Ống Rộng Thun Gân Dài Dễ Thương , Nữ Tính , Xinh Gái",97.0,Tiêu dùng giá thấp
Trang phục văn hóa,Thời Trang Cô Tiên,177000.0,21.0,139830.0,300.0,4.9,Đồ lam đi Chùa nữ thời trang sét bộ đi chùa cổ tàu thiêu hoa sen chữ AN nút gài bọc vải,840.0,Hàng tiêu dùng trung giá
Áo liền quần & áo liền quần,STUDIENT SHOP,190000.0,63.0,70300.0,44.0,4.8,SÉT ÁO IN CHỮ CENTER KÈM QUẦN ỐNG RỘNG ( CÓ BÁN LẺ ÁO ) HÌNH IN SẮC NÉT BỀN ĐẸP,204.0,Tiêu dùng giá thấp
Set bộ đi chơi,YOYOSHOP25,250000.0,32.0,169999.0,209.0,4.9,Bộ Trung Niên Tay Lỡ Chất Đũi Thêu Hoa Sang Trọng,555.0,Tiêu dùng giá thấp
Quần,Gấu.Store,125000.0,37.0,78750.0,6393.0,4.9,"Quần short kaki nam co dãn có big size kiểu dáng thời trang nam tính (Nhiều màu, hình thật)",36400.0,Tiêu dùng giá thấp
Set bộ đi chơi,Shop Thỏ Bunny,100000.0,51.0,49000.0,29.0,4.7,"( 2 mẫu, hót trend ) Bộ đồ áo thun trắng in Lợn + quần heo hồng sieuu kutee",95.0,Tiêu dùng giá thấp
Set bộ đi chơi,Ben.storee,69000.0,58.0,28980.0,85.0,2.8,Set áo babytee kèm quần suông kẻ siêu hot,241.0,Tiêu dùng giá thấp
Set bộ đi chơi,Ben.storee,69000.0,64.0,24840.0,53.0,2.9,Sét  CÚC ÁO  U tay ngắn kèm quần suông cạp chun hotrend đủ 3 màu basic,163.0,Tiêu dùng giá thấp
Set bộ đi chơi,Ben.storee,95000.0,69.0,29450.0,3.0,2.3,Sét bộ quần áo LV Kèm cổ xích chất cotton thoáng mát áo form rộng tay lỡ phong cách Hàn Quốc M2584,8.0,Tiêu dùng giá thấp
"Quần, váy",CZXC78.Selection,30400.0,70.0,9120.0,728.0,4.9,"Quần Lót Ice Silk Liền Mạch Nữ, Eo Thấp Kích Thước Lớn, Quần Thoáng Khí Nâng Mông Nữ Thể Thao Quần Lót",2800.0,Tiêu dùng giá thấp
Tất & Quần tất,QINGHE SOCKS &GARMENT,13700.0,42.0,7946.0,3975.0,4.9,Tất Cotton Cổ Cao Nữ Phong Cách Vintage Hàn Quốc Thích Hợp Cho Giày Mary Jane Lolita,23800.0,Tiêu dùng giá thấp
Tất & Quần tất,QWaOU2.Selection,37700.0,29.0,26767.0,169.0,5.0,"5 Cặp Vớ Kiểu Hàn Quốc, Chất Lượng Cao Cho Nữ",767.0,Tiêu dùng giá thấp
Đồ ngủ nữ,CHILI đồ ngủ nữ,158000.0,44.0,88480.0,31.0,4.9,Đồ bộ nữ pijama chất xốp gân dài tay mặc nhà cao cấp,90.0,Tiêu dùng giá thấp
Đồ ngủ nữ,CHILI đồ ngủ nữ,73998.0,35.0,48098.0,55.0,4.9,"Bộ pijama, đồ bộ mặc nhà nữ dáng cộc dễ thương cute",240.0,Tiêu dùng giá thấp
Tất & Quần tất,8ZKTvR.Selection,19500.0,56.0,8579.0,868.0,5.0,"Tất trắng tất trắng in hình động vật tất học sinh nữ Nhật Bản dễ thương tất mùa xuân, mùa hè và mùa thu gấu vớ giữa bắp chân",3800.0,Tiêu dùng giá thấp
Set bộ đi chơi,HUỲNH PHẠM SHOP,178000.0,47.0,94340.0,21.0,4.9,Sét bộ thời trang dáng quần suông phối cổ áo tim nút to xinh xắn,88.0,Tiêu dùng giá thấp
Đồ ngủ nữ,THIENKIM FASHION,139000.0,35.0,90350.0,2.0,5.0,"set đồ bộ nữ thun gân viền bèo, 4 màu, họa tiết quần dễ thương xinh xắn. Phù hợp mọi hoạt động",22.0,Tiêu dùng giá thấp
Set bộ đi chơi,Shop Áo Thun MUN Panda,180000.0,17.0,149400.0,19.0,4.2,"(Panda-S) Set Đồ Bộ Lam Áo Cổ Tàu Tay Lỡ Đính 3 Nơ Lớn Hình Thiêu 2 Lớp Phối quần dài Ống rộng Phong Cách Đơn Giản , Có Sức Hút , Siêu hot",66.0,Tiêu dùng giá thấp
Đồ ngủ nữ,Chat Pyjama 1624720964,199000.0,37.0,125370.0,17.0,4.9,SÉT BỘ PYJAMA KẺ DÀI BÈO CÚC REN CỰC XINH HOT,64.0,Tiêu dùng giá thấp
Đồ ngủ nữ,WINNY SHOP 1605685735,99980.0,53.0,46990.0,9.0,4.9,45-60kg SET BỘ PHI BÓNG IN BÔNG ÁO CỔ YẾM MẪU MỚI SIÊU SEXY,45.0,Tiêu dùng giá thấp
Đồ ngủ nữ,CHILI đồ ngủ nữ,179998.0,47.0,95398.0,12.0,4.8,Đồ Bộ Pijama Nữ Mặc Nhà Áo Cộc Quần Đùi Thiết Kế Kẻ Caro Chất Liệu Cotton Xốp Cao Cấp Mềm Mát Mùa Hè,57.0,Tiêu dùng giá thấp
Áo,tokyo.shop,140000.0,47.0,74200.0,36.0,4.4,"ĐỒ BỘ THỂ THAO GẤU TRÚC PAN.DA SANG CHẢNH , SET ĐỒ BỘ THỂ THAO, ĐỒ BỘ TẬP GYM MANG Ở NHÀ VÀ ĐI CHƠI , ĐỒ BỘ NAM PHONG CÁCH CAO CẤP - TOKYO FASHION",114.0,Thời trang phổ thông
Đồ ngủ nữ,CHILI đồ ngủ nữ,107998.0,44.0,60478.0,38.0,4.8,Bộ ngủ nữ CARY set pijama mặc nhà áo tay dài quần dài hoạt hình capybara cute,134.0,Tiêu dùng giá thấp
Đồ ngủ nữ,Shop-HATHU,158000.0,50.0,79000.0,23.0,4.8,Đồ Bộ Đùi Cổ Tròn Tay Cộc Chất Thun Cotton Su mềm 3 size 40-70kg,80.0,Tiêu dùng giá thấp
Set bộ đi chơi,Changtong Fashion,621000.0,47.0,329130.0,14.0,4.9,Bộ đồ hai mảnh CHANGTONG kẻ sọc phong cách Hàn Quốc dáng dài tay cổ bẻ nút thời trang mùa xuân 2025,0.0,Tiêu dùng giá thấp
Đồ ngủ nữ,Shop _5 sao,185000.0,30.0,129499.0,1.0,5.0,"Đồ bộ tole trung niên, Bộ lanh mặc nhà SHOP5SAO chất lanh nhung cao cấp, quần lửng [CÓ BIGSIZE] (50-80kg)",0.0,Tiêu dùng giá thấp
Set bộ đi chơi,Changtong Fashion,1095000.0,43.0,624150.0,10.0,4.9,Bộ hai mảnh CHANGTONG áo hoodie và quần dài dáng vừa phong cách Hàn Quốc mùa thu,0.0,Tiêu dùng giá thấp
